"","gender","age_group","education","familiarity","q"
"492","Female","Adults","college_educated","No",1.53846153846154
"493","Male","Adults","college_educated","No",2.76923076923077
"494","Male","Youths","college_educated","Yes",1.30769230769231
"495","Male","Adults","college_educated","No",1.30769230769231
"496","Female","Adults","college_educated","No",1
"497","Male","Adults","college_educated","No",2.76923076923077
"498","Female","Youths","college_educated","No",0.923076923076923
"499","Male","Adults","college_educated","No",1
"500","Female","Adults","college_educated","No",2.15384615384615
"501","Male","Youths","No_college","No",3.07692307692308
"502","Male","Adults","college_educated","No",0.307692307692308
"503","Male","Youths","college_educated","No",1.46153846153846
"504","Female","Adults","college_educated","No",1.15384615384615
"505","Female","Youths","college_educated","No",2.07692307692308
"506","Male","Adults","college_educated","Yes",0.307692307692308
"507","Male","Adults","college_educated","No",0.769230769230769
"508","Male","Adults","college_educated","No",0.769230769230769
"509","Female","Adults","college_educated","No",1.92307692307692
"510","Male","Youths","college_educated","No",1.15384615384615
"511","Male","Adults","college_educated","No",0.769230769230769
"512","Female","Adults","No_college","No",1.92307692307692
"513","Female","Adults","No_college","No",1.53846153846154
"514","Male","Adults","college_educated","No",0.307692307692308
"515","Male","Youths","college_educated","No",1.76923076923077
"516","Female","Adults","college_educated","No",1.30769230769231
"517","Male","Adults","college_educated","No",0.923076923076923
"518","Male","Adults","college_educated","No",1.07692307692308
"519","Male","Youths","college_educated","No",1.15384615384615
"520","Male","Adults","college_educated","No",1.61538461538462
"521","Male","Adults","college_educated","No",0.923076923076923
"522","Male","Youths","college_educated","No",0.769230769230769
"523","Female","Youths","college_educated","Yes",2.15384615384615
"524","Male","Adults","college_educated","Yes",2.15384615384615
"525","Male","Youths","college_educated","No",0.769230769230769
"526","Male","Youths","college_educated","No",1
"527","Female","Youths","college_educated","Yes",0.769230769230769
"528","Female","Youths","college_educated","No",0.615384615384615
"529","Female","Youths","college_educated","No",1.61538461538462
"530","Male","Youths","college_educated","No",1.84615384615385
"531","Male","Adults","college_educated","No",0.538461538461538
"532","Male","Youths","No_college","No",1.76923076923077
"533","Female","Youths","No_college","No",2.84615384615385
"534","Female","Youths","college_educated","Yes",2.46153846153846
"535","Female","Youths","No_college","No",0.923076923076923
"536","Female","Youths","college_educated","No",1.30769230769231
"537","Female","Adults","college_educated","No",0.384615384615385
"538","Male","Adults","college_educated","No",2.76923076923077
"539","Female","Youths","college_educated","No",0.461538461538462
"540","Female","Youths","college_educated","Yes",1.23076923076923
"541","Male","Youths","No_college","No",1.92307692307692
"542","Male","Youths","college_educated","No",1.30769230769231
"543","Female","Youths","college_educated","No",1.53846153846154
"544","Male","Youths","college_educated","No",1.92307692307692
"545","Male","Youths","college_educated","No",1.38461538461538
"546","Female","Youths","No_college","No",3
